matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3848373858,137272985,3,4,11,0,459,38583,0,43,14,221,22,0,6,0.337213970293055,0,672,1,499,Freeze,2491,True,0,19056,20716,3,22,1,0,200,14,0,0,0,0,0,0,0,False,0,0,7,2976,2442,10,0.77272725,0.7661371405590187,310
3848320649,137272985,14,1,12,0,483,19997,0,19,8,197,20,0,6,0.23564064801178203,0,1335,1,535,Freeze,2037,False,1,16397,18163,11,42,1,0,164,8,0,0,0,0,9,0,0,False,0,0,7,2255,2456,9,0.6111111,0.7472350693746229,331
3848259014,137272985,8,5,13,0,478,23119,0,25,4,242,20,0,10,0.1147227533460803,0,1806,1,492,Freeze,2092,True,0,16666,17154,2,45,1,0,202,4,0,0,0,0,6,0,0,False,0,0,9,2417,2030,10,0.7058824,0.6706213553187211,294
3847305757,137272985,13,9,2,0,526,23901,0,52,9,242,22,1,9,0.22613065326633164,0,5354,2,550,Freeze,2388,False,1,20934,21890,2,74,2,0,160,9,0,2,0,0,6,1,0,False,1,0,7,2593,2372,2,0.78571427,0.7482404986929418,300
3847207327,137272985,11,6,4,0,585,30750,0,25,14,201,22,0,6,0.41399704287826516,0,4884,2,649,Freeze,2029,False,1,19782,21947,3,40,2,0,156,14,0,0,1,0,7,0,0,False,0,0,9,3229,3054,4,0.75757575,0.8270661572491453,312
3846888523,137272985,5,3,7,0,447,21873,0,17,3,252,20,0,13,0.07954043305346885,0,469,1,478,Freeze,2263,True,0,16859,18028,2,48,1,0,205,3,0,0,0,0,0,0,0,False,0,0,12,2582,2392,6,0.8888889,0.6987733762316509,312
3846835089,137272985,10,1,18,0,527,19382,0,43,7,202,19,0,4,0.23904382470119523,0,2832,3,553,Freeze,1757,False,1,15432,16193,8,17,3,0,195,7,0,0,0,0,0,0,0,False,0,0,6,3084,2736,11,0.56666666,0.8272672431128092,309
3846768422,137272985,9,6,19,0,458,26116,0,11,6,300,23,0,8,0.12811387900355872,0,1266,1,500,Freeze,2810,False,0,21449,23416,2,65,1,0,241,6,0,0,0,0,8,0,0,False,0,0,7,2485,2228,12,0.65217394,0.7333601447818219,308
3841676130,137272985,5,4,17,0,459,14017,0,43,6,221,19,2,4,0.18090452261306533,0,2340,1,509,Freeze,1990,True,0,15223,16881,2,31,1,0,192,6,2,0,0,0,0,3,0,False,0,0,7,2447,2200,11,0.44,0.7703599436959582,298
3841589135,137272985,2,3,8,0,426,2976,245,95,1,177,16,0,6,0.037267080745341616,1,0,0,466,Freeze,1610,True,0,11431,12504,0,75,0,0,105,1,0,0,1,0,24,0,1,False,0,0,4,1968,1767,8,0.375,0.5960184998994571,329
3834963072,137272985,9,7,4,0,366,17215,0,19,4,125,16,0,13,0.13289036544850497,0,0,0,389,Freeze,1806,True,0,11016,11708,1,26,0,0,98,4,0,0,0,0,3,0,0,False,0,0,8,2750,2438,4,0.5416667,0.6931429720490649,329
3834893237,137272985,6,3,3,0,365,11669,0,13,5,132,16,0,8,0.17857142857142855,0,328,0,442,Freeze,1680,False,0,10220,12376,2,12,0,0,106,5,0,0,0,0,0,0,0,False,0,0,10,2587,2653,0,0.78571427,0.7637241101950533,329
3834797908,137272985,8,6,13,0,453,16232,0,43,8,220,22,0,7,0.20960698689956334,0,1031,1,531,Freeze,2290,True,0,17289,20266,2,36,1,0,186,8,0,1,1,0,0,0,0,False,0,0,11,2646,2321,11,0.5925926,0.5738990548964408,331
3834655304,137272985,12,5,24,1,493,29633,0,15,5,385,25,0,6,0.0812787862367922,0,2827,2,584,Freeze,3691,True,1,30327,35925,2,71,2,0,318,6,1,0,0,0,14,0,0,False,0,0,10,3122,2887,20,0.6296296,0.7886587572893625,303
3834092818,137272985,12,1,10,1,777,34953,17283,8,19,442,25,0,12,0.40714285714285714,0,10820,7,636,Freeze,2800,False,1,36260,29680,15,179,7,0,245,19,2,0,1,0,60,0,0,False,0,0,8,2832,3184,10,0.81578946,0.9585763120852604,350
3834007564,137272985,7,1,13,0,653,13970,0,12,8,257,21,0,5,0.29684601113172543,0,4130,2,697,Freeze,1617,True,1,17598,18784,7,82,2,0,165,8,0,0,0,0,6,0,0,False,0,0,4,2590,2557,13,0.6,0.8984516388497888,319
3832724862,137272985,12,5,13,0,506,16899,0,19,7,203,21,0,8,0.20280057943022695,0,2710,4,542,Freeze,2071,True,1,17465,18708,3,65,4,0,135,7,1,0,1,0,8,0,0,False,0,0,9,2808,2624,12,0.5588235,0.7223004222803137,328
3832546445,137272985,15,3,16,0,626,61444,0,72,17,414,25,0,9,0.3280797684142811,0,4417,6,606,Freeze,3109,True,1,32437,31400,8,111,6,0,292,17,1,0,0,0,15,0,0,False,0,0,9,2223,2510,8,0.8888889,0.6766539312286346,364
3829564146,137272985,3,3,13,0,512,6093,0,46,3,235,18,0,6,0.11152416356877323,1,692,0,561,Freeze,1614,True,0,13772,15090,1,94,0,0,150,3,0,0,0,0,17,0,1,False,0,0,3,2946,2218,9,0.42857143,0.7152624170520813,385
3829506426,137272985,6,3,10,1,461,7253,0,74,6,128,14,0,6,0.2754399387911247,0,379,0,447,Freeze,1307,True,0,10042,9737,3,20,0,0,102,6,0,0,0,0,0,0,0,False,0,0,4,2353,2854,5,0.8,0.9064950733963403,404
3828974488,137272985,15,3,16,0,617,27631,0,19,10,187,21,0,5,0.36014405762304924,0,4019,2,684,Freeze,1666,True,1,17132,18992,6,46,2,0,143,13,0,0,0,0,3,0,0,False,0,0,5,2729,2895,14,0.7352941,0.9137341644882365,361
3828770018,137272985,7,4,12,0,489,23068,0,76,6,335,24,0,6,0.1338289962825279,0,801,0,586,Freeze,2690,False,0,21923,26272,2,68,0,0,272,6,0,0,0,0,0,0,0,False,0,0,5,2762,2099,7,0.52,0.6269857229036798,340
3813872197,137272985,13,8,16,0,445,21327,0,15,7,230,23,0,2,0.16470588235294117,0,928,0,556,Freeze,2550,True,0,18912,23630,2,24,0,0,201,7,0,1,0,0,4,0,0,False,0,0,9,2612,1644,12,0.7407407,0.42409008646692137,317
3813829086,137272985,4,3,14,0,414,10172,0,52,1,161,14,0,1,0.04084411164057181,0,1005,0,400,Freeze,1469,True,0,10136,9793,1,22,0,0,150,1,0,0,0,0,0,0,0,False,0,0,5,2161,2135,11,0.44444445,0.6889201689121255,352
3810509929,137272985,4,7,8,0,411,14053,0,43,3,227,19,0,5,0.07547169811320754,0,501,1,425,Freeze,2385,True,0,16337,16893,0,46,1,0,178,3,0,0,0,0,4,0,0,False,0,0,6,2325,2172,6,0.3888889,0.5899859239895435,310
3809038898,137272985,0,4,3,0,416,13198,0,98,2,157,15,0,3,0.08196721311475409,0,257,0,438,Freeze,1464,True,0,10150,10687,0,7,0,0,137,2,0,0,0,0,0,0,0,False,0,0,5,2809,2436,2,0.4,0.7492459280112608,341
3808671269,137272985,9,9,14,1,483,20449,0,52,6,186,21,0,9,0.1672085462145843,0,2209,1,528,Freeze,2153,True,0,17331,18946,1,65,1,0,126,6,0,0,0,0,5,0,0,False,0,0,11,2300,2480,14,0.6,0.7681479991956566,325
3806938549,137272985,16,4,13,0,497,33255,0,43,13,248,25,0,8,0.26404874746106977,0,2451,1,571,Freeze,2954,True,0,24468,28112,5,26,1,0,231,13,0,0,0,0,4,0,0,False,0,0,5,2647,2392,8,0.7837838,0.7046048662779006,324
3806747614,137272985,13,8,6,0,401,15924,0,19,1,176,20,0,6,0.023419203747072598,0,2190,1,406,Freeze,2562,False,1,17122,17336,1,28,1,0,152,1,0,0,0,0,3,0,0,False,0,0,9,2211,1759,4,0.42424244,0.6078825658556204,310
3805240127,137272985,10,6,33,0,513,22008,0,15,12,290,25,0,4,0.23270846800258566,0,1854,1,654,Freeze,3094,True,0,26453,33724,3,55,1,0,260,12,2,0,0,0,7,0,0,False,0,0,7,2858,2473,17,0.64705884,0.7118439573697969,317
3805102807,137272985,15,3,9,0,593,31599,0,17,12,307,25,1,13,0.284247927358863,0,1546,1,652,Freeze,2533,False,1,25034,27525,6,55,1,0,233,12,2,0,0,0,2,1,0,False,0,0,13,2836,2440,4,0.7941176,0.6941484013673839,340
3803752673,137272985,3,5,14,0,455,6990,0,76,2,221,20,0,4,0.055529847292919945,0,0,0,482,Freeze,2161,False,0,16387,17360,0,42,0,0,184,2,0,0,0,0,0,0,0,False,0,0,12,1866,1612,1,0.22727273,0.439372612105369,334
3803678753,137272985,10,8,14,0,509,22739,275,25,7,277,23,1,11,0.1761744966442953,0,2300,3,577,Freeze,2384,True,0,20224,22926,1,100,3,0,184,7,0,0,0,0,14,1,0,False,0,0,5,3258,2448,11,0.68,0.7993163080635431,322
3799488387,137272985,1,2,14,0,395,5981,0,109,3,145,13,0,2,0.11665586519766688,0,217,1,337,Freeze,1543,False,0,10158,8666,1,18,1,0,137,3,0,0,0,0,0,0,0,False,0,0,7,1595,1962,7,0.5714286,0.5212145586165292,380
3799388962,137272985,7,5,4,0,479,13226,80,11,5,185,17,1,8,0.16882386043894201,0,519,1,462,Freeze,1777,False,0,14186,13682,2,49,1,0,136,5,0,0,1,0,3,1,0,False,0,0,8,2213,2089,3,0.7058824,0.7011864065956164,320
3799270780,137272985,7,3,33,1,674,17941,0,11,9,409,24,0,6,0.23295944779982744,0,1789,3,685,Freeze,2318,False,0,26038,26463,4,84,3,0,331,9,1,0,0,0,6,0,0,False,0,0,9,2719,2920,22,0.6666667,0.9304242911723306,345
3797886824,137272985,8,4,16,0,478,16384,858,54,2,301,23,0,1,0.048465266558966075,0,766,0,559,Freeze,2476,False,0,19725,23068,2,45,0,0,266,2,0,0,0,0,5,0,0,False,0,0,15,3132,2861,12,0.4,0.7418057510557008,308
3797772127,137272985,11,2,13,0,583,21958,0,15,7,263,22,0,8,0.20648967551622419,0,4250,2,602,Freeze,2034,False,1,19763,20407,6,35,2,0,202,7,0,0,1,0,0,0,0,False,0,0,5,1987,2056,9,0.6666667,0.6197466318117836,335
3797612930,137272985,6,1,23,1,583,22904,0,15,15,206,20,0,5,0.46320123520329387,0,2536,4,565,Freeze,1943,True,1,18879,18296,10,34,4,0,183,15,0,1,1,0,1,0,0,False,0,0,4,3046,2998,17,0.84,1.0152825256384477,356
3797438076,137272985,10,3,6,0,451,16020,0,19,4,112,17,0,2,0.13179571663920922,0,1450,2,447,Freeze,1821,False,1,13687,13566,3,0,2,0,114,4,0,0,0,0,0,0,0,False,0,0,8,2616,2031,5,0.7777778,0.7078222400965212,360
3797292047,137272985,11,7,10,0,505,31036,0,19,9,354,25,1,15,0.1657967454712926,0,3524,3,508,Freeze,3257,False,0,27413,27575,2,53,3,0,297,9,0,0,0,0,16,1,0,False,0,0,8,2852,2328,9,0.71428573,0.7679469133319927,335
3797057590,137272985,5,3,13,1,496,25896,35,39,5,281,23,0,12,0.12048192771084336,0,2212,2,569,Freeze,2490,False,0,20584,23613,2,83,2,0,198,5,0,0,1,0,7,0,0,False,0,0,12,3036,2614,8,0.5882353,0.7593002211944501,294
3797008538,137272985,3,0,24,0,499,11035,0,19,8,94,12,0,2,0.5068637803590285,0,1269,0,459,Freeze,947,True,1,7875,7244,11,11,0,0,104,7,0,0,0,0,0,0,0,False,0,0,2,2996,2940,20,0.6875,0.8584355519806958,366
3795559077,137272985,2,7,7,0,409,10001,0,76,2,185,18,0,4,0.06157003591585428,0,387,0,443,Freeze,1949,True,0,13285,14390,0,48,0,0,137,2,0,0,0,0,2,0,0,False,0,0,8,2213,1787,3,0.36363637,0.5234265031168309,264
3795477852,137272985,7,2,9,0,455,18119,0,13,4,210,19,0,12,0.11075219197046608,0,825,1,438,Freeze,2167,False,0,16433,15819,3,8,1,0,205,4,2,0,0,0,0,0,0,False,0,0,11,2479,1804,4,0.78571427,0.5366981701186406,316
3795410349,137272985,12,2,6,0,535,10476,5852,8,3,161,17,0,6,0.11494252873563218,0,4173,3,486,Freeze,1566,True,1,13963,12684,5,32,3,0,127,3,1,0,0,0,3,0,0,False,0,0,7,3100,2640,5,0.7,0.7832294389704404,351
3795343638,137272985,3,8,16,0,462,12344,0,25,6,171,17,1,3,0.2046617396247868,2,1377,1,457,Freeze,1759,False,0,13544,13397,1,48,1,0,134,6,1,0,1,0,11,1,1,False,1,1,8,3180,2474,13,0.5625,0.8849788859843153,281
3795274204,137272985,6,5,15,0,483,7785,0,72,2,135,14,0,5,0.09345794392523364,0,1393,1,439,Freeze,1284,True,1,10336,9394,1,41,1,0,100,2,0,0,0,0,0,0,0,False,0,0,6,2040,1751,10,0.3478261,0.5640458475769153,335
3794122883,137272985,19,5,4,0,433,13635,0,23,5,179,21,0,4,0.1339883876730683,0,1119,1,526,Freeze,2239,True,1,16158,19628,4,56,1,0,120,5,1,0,0,0,15,0,0,False,0,0,11,2474,2184,3,0.6486486,0.6722300422280314,369
3793784398,137272985,12,10,6,0,433,15941,80,13,5,205,20,0,12,0.1240181893344357,0,731,0,434,Freeze,2419,False,1,17457,17497,1,26,0,0,182,5,1,0,0,0,0,0,0,False,0,0,10,2480,2007,2,0.65384614,0.6639855218178162,275
3793710118,137272985,12,2,16,0,556,19488,0,76,6,329,24,0,3,0.1388888888888889,0,1957,4,586,Freeze,2592,False,1,24019,25315,6,65,4,0,268,6,1,0,0,0,0,0,0,False,0,0,6,2589,1919,10,0.6666667,0.6237683490850593,287
3792544900,137272985,11,2,12,0,549,12307,0,25,5,172,17,0,9,0.20026702269692925,0,3502,2,555,Freeze,1498,True,1,13706,13856,5,76,2,0,102,5,0,0,1,0,10,0,0,False,0,0,3,2569,2726,10,0.5925926,0.7582947918761311,302
3792466130,137272985,10,4,13,0,638,16562,0,52,13,195,20,0,6,0.451650260567458,0,1800,0,614,Freeze,1727,True,1,18363,17672,4,32,0,0,150,13,0,0,0,0,0,0,0,False,0,0,4,2073,1988,5,0.6764706,0.6285944098129902,344
3792346089,137272985,14,7,14,0,497,41057,0,47,8,318,25,0,6,0.1456752655538695,0,1231,0,575,Freeze,3295,True,0,27293,31577,2,36,0,0,290,8,0,0,1,0,9,0,0,False,0,0,8,2409,1585,3,0.6666667,0.5672632213955359,307
3792178308,137272985,8,6,7,0,631,19662,0,25,6,371,25,1,9,0.13835511145272866,0,3667,3,645,Freeze,2602,False,1,27364,27971,2,106,3,0,258,6,0,1,1,0,23,1,0,False,0,0,5,3300,2660,6,0.5185185,0.8061532274281118,271
3792116483,137272985,8,3,8,1,642,16643,0,25,14,227,21,1,5,0.4895104895104895,0,3815,4,662,Freeze,1716,False,1,18361,18933,5,86,4,0,138,14,0,0,1,0,13,1,0,False,0,0,3,2715,2999,7,0.62857145,0.9489241906293987,299
3787793545,137272985,3,3,13,0,407,9235,0,17,3,183,16,0,5,0.1115933044017359,0,0,0,433,Freeze,1613,True,0,10941,11640,1,65,0,0,123,3,0,0,0,0,3,0,0,False,0,0,5,2671,2440,7,0.6666667,0.7832294389704404,350
3787689572,137272985,2,2,14,0,331,5039,0,78,1,91,10,0,5,0.04979253112033195,0,26,1,292,Freeze,1205,True,0,6647,5864,1,20,1,0,84,1,0,0,0,0,0,0,0,False,0,0,5,1939,2203,8,0.375,0.6732354715463503,360
3787477054,137272985,23,2,9,0,527,25357,0,43,12,128,21,0,7,0.3925845147219193,0,3680,1,619,Freeze,1834,False,1,16108,18920,11,16,1,0,114,12,0,0,0,0,1,0,0,False,0,0,5,3300,2526,6,0.7291667,0.7812185803338025,327
3787365356,137272985,11,2,19,1,536,21901,0,43,17,160,21,0,3,0.5304212168486739,0,3129,1,601,Freeze,1923,False,1,17178,19262,9,13,1,0,160,17,0,0,0,0,5,0,0,False,0,0,6,2868,2683,14,0.8,0.8393323949326362,346
