matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3870602242,72312627,18,8,16,0,475,10813,0,6,5,162,19,0,4,0.14925373134328357,0,6138,2,470,MATUMBAMAN,2010,True,1,15912,15745,2,36,2,0,134,5,0,0,0,0,7,0,0,False,0,0,10,1485,1820,11,0.6216216,0.5823446611703197,189
3870453145,72312627,12,4,6,0,471,18289,0,43,9,184,23,0,9,0.23904382470119523,0,4540,1,600,MATUMBAMAN,2259,True,0,17733,22590,4,41,1,0,144,9,0,0,1,0,7,0,0,False,0,0,11,2749,1947,5,0.53846157,0.7414035793283732,203
3870156798,72312627,16,6,10,1,504,19372,0,47,9,149,20,0,3,0.28346456692913385,0,3306,1,566,MATUMBAMAN,1905,True,1,16002,17970,3,34,1,0,117,9,1,1,1,0,9,0,0,False,0,0,10,2472,2764,10,0.7352941,0.8757289362557812,194
3870010503,72312627,20,5,6,0,563,21399,0,92,10,221,24,0,4,0.24549918166939444,0,11932,6,624,MATUMBAMAN,2444,False,1,22932,25417,5,84,6,0,122,10,0,1,0,0,39,0,0,False,0,0,10,2208,1899,4,0.6,0.6643876935451438,197
3869862804,72312627,12,12,5,0,393,15703,0,43,2,189,20,0,6,0.04983388704318937,0,2468,2,441,MATUMBAMAN,2408,False,0,15772,17698,1,31,2,0,155,2,1,0,0,0,3,0,0,False,0,0,13,2483,2347,4,0.4827586,0.7235069374622964,182
3868388262,72312627,9,9,10,0,420,23779,0,43,6,207,24,1,5,0.1449859041482078,0,2618,2,616,MATUMBAMAN,2483,True,0,17381,25492,1,75,2,0,137,6,1,0,0,0,3,1,0,False,0,0,9,2944,2645,8,0.5833333,0.7235069374622964,197
3868240894,72312627,22,6,9,0,559,47136,0,40,11,354,24,0,3,0.23792357606344627,1,2043,2,568,MATUMBAMAN,2774,False,0,25844,26260,4,38,2,0,270,11,2,2,0,4,6,0,1,False,0,1,14,2404,2761,9,0.84615386,0.7890609290166901,208
3865875641,72312627,11,3,13,0,495,43498,0,47,11,218,22,0,3,0.2595359811246559,0,4421,5,514,MATUMBAMAN,2543,False,1,20979,21785,5,54,5,0,169,11,0,0,0,0,10,0,0,False,0,0,8,2900,2251,7,0.6666667,0.7609089081037603,210
3865715133,72312627,19,10,4,0,501,32919,19,25,11,226,25,1,13,0.22932592077831826,0,3984,1,596,MATUMBAMAN,2878,True,1,24031,28588,2,93,1,0,128,11,0,0,3,0,7,1,0,False,0,0,11,2565,1991,4,0.65217394,0.6577518600442389,179
3862218492,72312627,16,0,15,0,647,14769,0,80,8,131,16,0,5,0.3846153846153846,0,9633,6,602,MATUMBAMAN,1248,True,1,13457,12521,24,21,6,0,113,8,0,0,0,0,3,0,0,False,0,0,3,2764,2487,10,0.6052632,0.883370199075005,248
3862104329,72312627,18,2,18,1,657,43314,0,12,17,314,25,0,8,0.4163265306122449,0,11114,2,721,MATUMBAMAN,2450,False,1,26827,29440,11,103,2,0,215,18,1,0,1,0,31,0,0,False,0,0,8,2714,3273,16,0.71428573,1.0251357329579731,194
3860626926,72312627,15,3,11,0,456,22166,0,47,9,152,19,0,3,0.2815432742440042,0,2998,0,520,MATUMBAMAN,1918,False,1,14576,16622,6,41,0,0,106,9,0,0,0,0,9,0,0,False,0,0,10,2563,1770,8,0.75,0.6963603458676855,198
3860516530,72312627,9,2,12,0,512,12625,0,43,8,146,16,0,7,0.31007751937984496,0,3107,1,490,MATUMBAMAN,1548,True,1,13209,12642,5,28,1,0,125,8,0,0,1,0,3,0,0,False,0,0,9,2835,2239,7,0.47058824,0.7405992358737181,218
3858902133,72312627,16,0,21,0,541,17974,0,43,8,158,20,0,9,0.2990654205607477,0,4614,2,633,MATUMBAMAN,1605,True,1,14471,16932,24,26,2,0,145,8,0,0,1,0,3,0,0,False,0,0,4,2874,3020,19,0.5217391,0.9054896440780213,233
3858746706,72312627,11,6,5,0,652,34061,0,25,16,356,25,1,15,0.32786885245901637,0,3649,3,672,MATUMBAMAN,2928,False,1,31817,32793,3,86,3,0,253,16,0,0,0,0,13,1,0,False,0,0,15,2767,2533,3,0.64285713,0.8274683289764729,216
3858598169,72312627,3,5,14,0,511,15322,0,80,6,206,22,0,18,0.17029328287606432,0,2646,1,615,MATUMBAMAN,2114,False,0,18004,21668,1,35,1,0,168,6,0,1,0,3,4,0,0,False,0,0,6,2463,2209,5,0.4090909,0.5714860245324753,203
3856657225,72312627,13,6,5,0,532,12358,560,25,4,212,20,0,10,0.13574660633484165,0,3374,1,574,MATUMBAMAN,1768,True,1,15676,16913,2,103,1,0,111,4,0,0,0,0,11,0,0,False,0,0,7,2376,2212,4,0.45945945,0.7265232254172531,208
3856540185,72312627,9,5,10,0,445,12097,0,93,3,229,20,0,5,0.08763388510223953,4,575,1,510,MATUMBAMAN,2054,False,0,15233,17459,2,62,1,0,169,3,4,0,0,0,15,0,4,False,0,4,8,2364,2700,9,0.6315789,0.7960989342449226,235
3856441285,72312627,13,2,14,0,542,10643,0,80,7,202,20,0,15,0.213089802130898,0,8617,3,545,MATUMBAMAN,1971,True,1,17804,17903,6,92,3,0,113,7,0,0,0,0,29,0,0,False,0,0,4,3104,2460,12,0.6666667,0.7442187814196662,205
3855322538,72312627,15,3,15,0,589,28562,3597,54,10,273,22,0,11,0.2358490566037736,0,9381,5,502,MATUMBAMAN,2544,False,1,24973,21284,6,69,5,0,205,10,0,0,0,0,30,0,0,False,0,0,7,2084,2776,8,0.82758623,0.7701588578322944,200
3855211981,72312627,18,6,10,0,570,29438,0,47,16,246,25,0,4,0.3654358583936049,0,3991,3,644,MATUMBAMAN,2627,True,1,24956,28196,4,64,3,0,171,16,0,0,1,1,16,0,0,False,0,0,13,2481,1762,4,0.8292683,0.4610898853810577,201
