matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3865542373,116585378,6,6,25,1,567,31767,0,106,9,298,24,0,10,0.22632020117351215,0,418,1,648,MidOne,2386,False,0,22547,25768,2,43,1,0,272,9,1,0,0,0,1,0,0,False,0,0,3,3038,3448,20,1,0.9527448220390107,349
3862694365,116585378,9,6,9,0,489,24335,0,23,5,364,22,0,5,0.10861694424330195,0,0,0,468,MidOne,2762,False,0,22510,21543,2,76,0,0,268,5,0,1,0,7,21,0,0,False,0,1,15,2667,2431,7,0.6086956,0.6842951940478584,356
3862603578,116585378,4,5,12,0,385,9356,131,23,3,124,14,0,7,0.12820512820512822,0,105,0,407,MidOne,1404,True,0,9009,9523,1,25,0,0,106,3,1,1,0,0,0,0,0,False,0,0,10,2351,1813,9,0.7777778,0.5759099135330786,391
3860355983,116585378,10,0,11,0,638,13799,0,49,11,224,20,0,2,0.3737259343148358,0,6867,2,598,MidOne,1766,False,1,18778,17601,21,19,2,1,187,11,0,0,0,3,4,0,0,False,0,0,8,2951,2441,10,0.67741936,0.7208928212346672,336
3860228898,116585378,7,2,28,1,661,33594,0,76,19,327,25,0,15,0.4237918215613383,0,4639,1,626,MidOne,2690,True,1,29634,28065,8,60,1,0,260,19,1,0,1,5,0,0,0,False,0,0,7,2534,2819,24,0.7647059,0.7948924190629398,334
3858133933,116585378,1,7,14,0,343,6443,0,25,0,107,13,1,0,0,0,99,0,373,MidOne,1286,True,0,7351,7994,0,15,0,0,101,0,0,0,0,0,0,1,0,False,0,0,7,2482,1908,13,0.14285715,0.6591594610898854,285
3858047503,116585378,3,5,8,0,397,8935,0,43,3,175,16,0,4,0.10095344924284913,0,1237,1,397,MidOne,1783,False,0,11797,11797,1,24,1,0,142,3,0,0,0,0,0,0,0,False,0,0,6,1743,2352,4,0.85714287,0.7572893625578122,334
3857948369,116585378,22,2,17,0,609,31474,0,72,8,332,23,0,4,0.19520130134200894,0,11568,6,581,MidOne,2459,False,1,24958,23811,10,129,6,0,202,8,0,0,0,0,37,0,0,False,0,0,6,3177,2604,11,0.75,0.7595013070581138,352
3856978772,116585378,8,6,13,0,603,26673,0,25,14,434,25,0,8,0.29116117850953205,0,237,1,675,MidOne,2885,True,0,28994,32456,3,155,1,1,264,14,1,0,1,6,9,0,0,False,0,0,13,2852,2383,7,0.7586207,0.7253167102352704,313
3856880792,116585378,11,1,12,0,524,15315,0,106,8,152,18,0,4,0.34139402560455195,0,529,1,613,MidOne,1406,True,1,12279,14364,9,27,1,0,127,8,0,0,0,1,0,0,0,False,0,0,7,2303,2283,8,0.7916667,0.7066157249145385,369
3856785633,116585378,1,7,11,0,264,3721,0,76,0,82,12,0,0,0,0,0,0,301,MidOne,1350,False,0,5940,6772,0,14,0,0,71,0,0,0,0,2,0,0,0,False,0,0,3,2457,1936,7,0.2,0.4946712246129097,334
3854498593,116585378,14,4,3,0,599,31266,0,106,9,337,25,0,14,0.21243115656963021,0,396,0,678,MidOne,2542,False,1,25377,28724,4,66,0,0,260,9,0,0,0,0,7,0,0,False,0,0,4,1781,2031,3,0.76666665,0.6225618339030766,329
3854408440,116585378,6,6,17,0,568,28978,0,11,6,392,24,0,14,0.13498312710911137,0,1736,1,559,MidOne,2667,True,0,25247,24847,1,131,1,0,268,6,0,0,0,0,30,0,0,False,0,0,7,3109,2481,12,0.85714287,0.7403981500100543,319
3854315649,116585378,18,5,16,0,544,37213,0,49,10,311,25,0,12,0.2159827213822894,0,5413,1,613,MidOne,2778,False,1,25187,28381,4,71,1,0,248,10,1,0,1,0,17,0,0,False,0,0,10,2815,2451,15,0.7,0.7912728735169917,288
3814189609,116585378,8,6,9,0,396,25312,0,23,3,254,22,1,3,0.0674662668665667,0,789,1,477,MidOne,2668,True,0,17608,21210,1,55,1,0,196,3,0,1,0,0,15,1,0,False,1,0,14,2296,1862,8,0.64705884,0.47999195656545346,334
3814099333,116585378,8,5,4,0,377,15623,0,43,2,213,19,0,8,0.04250797024442083,0,1388,2,343,MidOne,2823,True,0,17737,16138,1,60,2,0,150,2,0,0,2,0,2,0,0,False,0,0,8,1888,1552,3,0.625,0.4343454655137744,325
3810667407,116585378,15,8,11,0,528,44114,0,25,6,556,25,0,12,0.08415147265077139,0,5356,1,581,MidOne,4278,True,0,37646,41425,2,192,1,0,341,6,1,7,0,0,52,0,0,False,0,0,12,2813,1945,6,0.67741936,0.5958174140357932,309
3808944568,116585378,17,3,5,0,566,25850,0,19,12,223,21,1,10,0.33240997229916897,0,2538,3,539,MidOne,2166,False,1,20432,19457,7,47,3,1,171,12,0,0,1,0,21,1,0,False,1,0,10,2716,2195,5,0.6904762,0.8244520410215161,319
3808749687,116585378,4,5,12,0,432,19834,351,4,4,222,17,0,7,0.11505273250239692,0,184,0,386,MidOne,2086,True,0,15019,13419,1,65,0,0,163,4,0,0,0,0,18,0,0,False,0,0,8,2260,2022,10,0.72727275,0.565252362758898,320
3807257804,116585378,2,5,2,0,430,9948,0,12,3,171,17,0,2,0.11063306699446834,0,208,1,502,MidOne,1627,True,0,11660,13612,0,71,1,0,99,3,0,0,0,0,19,0,0,False,0,0,7,2482,1888,2,0.5,0.493464709430927,263
3806938549,116585378,12,9,16,0,501,27860,0,15,4,335,24,0,10,0.08124576844955991,0,936,1,525,MidOne,2954,True,1,24665,25847,1,79,1,0,259,4,0,0,0,0,16,0,0,False,0,0,8,2971,2199,11,0.5714286,0.6577518600442389,294
3805633343,116585378,16,3,21,0,471,13511,15237,50,5,233,24,0,9,0.10956902848794742,0,2995,1,563,MidOne,2738,False,1,21493,25691,5,37,1,0,198,5,1,0,1,0,15,1,0,False,1,0,10,2986,2947,14,0.7,0.8373215362959984,309
