matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3867646351,113457795,5,6,6,0,519,15016,160,25,8,295,22,0,15,0.19941836310760283,1,3787,5,516,Moonn,2407,False,0,20820,20700,1,100,5,0,186,8,2,2,0,0,15,0,1,False,0,0,9,2663,2312,5,0.5,0.7771968630605268,172
3865542373,113457795,14,2,15,0,562,25283,0,43,18,209,24,0,4,0.4526404023470243,0,8013,4,616,Moonn,2386,False,1,22348,24496,10,29,4,0,184,18,0,2,0,0,4,0,0,False,0,0,7,3152,2521,14,0.9117647,0.8743213352101348,189
3862218492,113457795,2,6,7,0,332,9282,0,49,2,80,13,0,5,0.09615384615384615,0,0,0,369,Moonn,1248,True,0,6905,7675,0,13,0,0,71,2,0,0,0,0,0,0,0,False,0,0,3,2193,2132,5,0.6666667,0.6527247134526443,186
3862104329,113457795,14,9,11,0,508,30910,0,43,10,255,22,0,5,0.2448979591836735,0,1900,1,505,Moonn,2450,False,0,20743,20620,2,40,1,0,221,10,0,0,0,0,5,0,0,False,0,0,10,2714,2609,9,0.75,0.8236476975668611,183
3860041559,113457795,9,0,26,0,583,11482,0,43,4,213,20,0,10,0.12526096033402923,0,5798,4,545,Moonn,1916,True,1,18617,17403,13,20,4,0,207,4,0,0,1,0,6,0,0,False,0,0,6,3082,2626,18,0.5416667,0.7832294389704404,200
3859911502,113457795,8,3,5,0,490,15913,0,49,11,231,24,0,9,0.23982558139534885,0,7355,6,565,Moonn,2752,True,1,22474,25914,4,54,6,0,163,11,0,1,1,0,16,0,0,False,0,0,6,2870,2383,4,0.57575756,0.685702795093505,186
3858543045,113457795,14,5,7,0,585,54218,0,72,10,307,24,0,6,0.2329192546583851,0,3745,1,593,Moonn,2576,True,1,25116,25459,4,111,1,0,187,12,2,0,1,0,29,0,0,False,0,0,8,2147,1609,5,0.75,0.5658556203498895,199
3858438387,113457795,3,4,21,0,496,11846,0,74,4,245,20,0,7,0.12084592145015105,1,2342,2,522,Moonn,1986,True,0,16417,17278,1,72,2,0,181,4,0,0,0,0,18,0,1,False,0,0,8,2308,1826,13,0.5833333,0.5745023124874321,247
3858316713,113457795,8,5,6,0,567,17236,0,43,5,324,25,0,12,0.10909090909090909,1,7546,8,592,Moonn,2750,False,1,25987,27133,2,21,8,0,289,5,0,1,1,0,2,0,1,False,0,0,7,2800,2232,3,0.5,0.7066157249145385,171
3856317902,113457795,11,8,8,0,520,20285,0,49,10,241,22,0,12,0.2291825821237586,0,2895,4,477,Moonn,2618,True,0,22689,20813,2,37,4,0,200,10,1,0,0,0,9,0,0,False,0,0,12,2786,2539,5,0.6363636,0.6889201689121255,163
3856210369,113457795,13,6,16,0,598,17219,0,11,8,332,22,0,8,0.19908751555371215,2,4844,3,521,Moonn,2411,True,0,24029,20935,3,74,3,0,254,8,1,2,1,0,27,0,4,False,0,0,8,2823,2797,9,0.75,0.9298210335813393,173
3856109320,113457795,24,7,22,0,451,18915,0,47,5,197,22,0,7,0.12536564981195153,0,5702,1,551,Moonn,2393,True,1,17987,21975,3,37,1,0,171,5,1,2,1,0,5,0,0,False,0,0,11,2708,2115,16,0.6304348,0.733159058918158,166
3854810418,113457795,3,7,9,0,457,12170,0,25,6,181,18,0,3,0.20594965675057206,1,1743,1,521,Moonn,1748,True,0,13313,15178,1,34,1,0,146,6,1,0,0,1,6,0,1,False,0,0,9,2977,2416,8,0.47368422,0.7788055499698371,183
3854704857,113457795,13,3,1,0,487,14544,0,49,5,215,22,0,9,0.13940520446096655,1,2303,2,612,Moonn,2152,True,1,17467,21950,4,76,2,0,131,5,2,0,0,0,10,0,1,False,0,0,10,2536,2018,0,0.8181818,0.5837522622159662,192
3854613702,113457795,8,3,8,0,434,16042,0,19,4,182,19,0,14,0.12084592145015105,1,1946,0,487,Moonn,1986,True,0,14365,16119,3,28,0,0,157,4,0,0,1,0,8,0,1,False,0,0,11,2832,2228,6,0.5217391,0.7337623165091494,182
3820686389,113457795,13,1,9,0,620,23223,0,43,7,336,25,1,15,0.1498394577238673,0,6920,4,599,Moonn,2803,False,1,28964,27983,10,36,4,0,285,7,3,0,2,0,2,3,0,False,0,0,7,2523,2091,3,0.71428573,0.669817011864066,179
3820592361,113457795,8,1,7,0,580,23328,0,49,10,238,23,0,10,0.26525198938992045,0,7257,5,599,Moonn,2262,True,1,21866,22582,9,46,5,0,177,10,0,1,2,0,4,0,0,False,0,0,8,3200,2538,5,0.6,0.6993766338226423,175
3820507353,113457795,13,8,17,0,451,11797,0,49,4,189,22,0,7,0.11085450346420322,0,2150,2,559,Moonn,2165,False,0,16273,20170,1,28,2,0,171,4,0,1,0,0,3,0,0,False,0,0,12,2432,2255,6,0.68,0.7249145385079429,151
3820410022,113457795,8,1,10,0,576,21908,0,19,14,219,21,0,4,0.4393305439330544,0,3489,2,605,Moonn,1912,True,1,18355,19279,11,77,2,0,146,14,0,0,0,0,6,0,0,False,0,0,10,2953,2516,8,0.7586207,0.7580937060124673,182
3820341307,113457795,4,4,19,0,487,9672,0,43,3,191,18,0,6,0.10804321728691477,1,2937,3,549,Moonn,1666,True,0,13522,15243,1,20,3,0,173,3,1,0,0,0,0,0,1,False,0,0,4,3345,2726,12,0.4117647,0.8077619143374221,178
3818518023,113457795,11,6,14,0,595,48383,0,19,17,420,25,0,10,0.2744148506860371,1,4722,3,555,Moonn,3717,True,1,36860,34382,4,126,3,0,285,17,3,1,1,0,23,0,1,False,0,0,14,2868,2505,14,0.59574467,0.7570882766941484,159
3818469890,113457795,12,1,18,0,496,10393,0,43,2,146,15,0,7,0.07281553398058252,0,6618,2,368,Moonn,1648,True,1,13623,10107,7,33,2,0,118,2,1,0,0,0,0,0,0,False,0,0,5,2054,1794,13,0.7222222,0.6326161270862658,185
