matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3868032433,106573901,11,8,20,0,660,40164,0,76,18,385,25,0,6,0.37486983686220066,0,2255,1,678,No[o]ne-,2881,False,0,31691,32555,3,120,1,0,268,18,3,2,0,0,0,0,0,False,0,0,9,2670,2319,10,0.6744186,0.6625779207721697,401
3867862633,106573901,10,6,14,1,551,28680,80,23,6,371,23,0,6,0.14090019569471623,0,895,1,524,No[o]ne-,2555,True,0,23463,22313,2,25,1,0,346,6,0,2,0,0,3,0,0,False,0,0,10,3217,2828,12,0.84210527,0.8286748441584557,470
3867646351,106573901,6,4,19,0,485,19989,0,47,11,213,22,0,3,0.2742002492729539,0,3443,3,520,No[o]ne-,2407,False,1,19456,20860,3,36,3,0,183,11,2,2,0,0,4,0,0,False,0,0,5,3541,3075,15,0.64,0.8676855017092299,393
3866278803,106573901,4,3,19,0,533,16068,0,25,11,228,20,0,2,0.3592814371257485,0,737,0,599,No[o]ne-,1837,False,0,16318,18339,3,66,0,0,168,11,0,0,0,0,9,0,0,False,0,0,9,3159,3480,12,1,0.9615926000402172,392
3866190562,106573901,16,3,9,0,600,26723,0,95,10,291,22,0,12,0.27958993476234856,1,6350,5,589,No[o]ne-,2146,False,1,21460,21066,6,78,5,0,209,10,0,2,1,0,12,0,1,False,0,0,6,2781,2123,5,0.8666667,0.623165091494068,407
3866060233,106573901,14,7,26,0,669,35596,0,46,10,435,25,0,11,0.2180232558139535,2,2409,5,736,No[o]ne-,2752,False,0,30684,33757,3,166,5,0,275,10,0,0,2,0,48,0,2,False,0,0,9,2647,2097,15,0.6486486,0.7299416850995375,400
3862694365,106573901,11,3,14,1,562,21961,0,43,9,321,24,0,11,0.19551049963794354,0,10421,5,565,No[o]ne-,2762,False,1,25870,26008,5,70,5,0,220,9,0,2,2,0,10,0,0,False,0,0,7,2970,2763,9,0.7037037,0.819022722702594,387
3862603578,106573901,10,2,18,0,455,14166,0,43,4,135,17,0,4,0.17094017094017094,1,2615,1,547,No[o]ne-,1404,True,1,10647,12799,4,17,1,0,132,4,0,0,0,0,0,0,1,False,0,0,3,2989,2430,12,0.6086956,0.6760506736376433,448
3861026687,106573901,10,3,32,0,800,26923,0,46,17,309,24,0,4,0.5428419372006386,0,5270,4,808,No[o]ne-,1879,True,1,25053,25303,6,74,4,0,242,17,0,0,1,6,36,0,0,False,0,0,8,2746,2261,16,0.6,0.8001206515181982,444
3860917809,106573901,10,1,24,0,683,37026,0,47,16,388,25,0,11,0.37267080745341613,0,7452,3,706,No[o]ne-,2576,False,1,29323,30310,13,158,3,0,236,16,0,2,0,0,29,0,0,False,0,0,8,3259,2869,12,0.7027027,0.7484415845566057,359
3859208891,106573901,2,4,14,0,396,7858,0,43,1,137,14,0,1,0.042492917847025496,0,1772,3,405,No[o]ne-,1412,True,0,9319,9531,0,8,3,0,137,1,1,0,0,0,0,0,0,False,0,0,5,3088,2366,10,0.27272728,0.7007842348682888,416
3859112825,106573901,7,7,18,0,515,24727,0,25,8,334,25,0,12,0.15962753574991684,0,2509,0,578,No[o]ne-,3007,False,0,25810,28967,1,99,0,0,241,8,1,0,0,0,8,0,0,False,0,0,7,2962,2609,15,0.51724136,0.7118439573697969,367
3859017359,106573901,8,3,15,0,635,29801,0,43,16,271,25,0,5,0.425531914893617,0,6807,3,724,No[o]ne-,2256,False,1,23876,27222,6,41,3,0,233,16,0,0,0,0,0,0,0,False,0,0,7,2852,2304,11,0.75,0.7297405992358738,449
3857361495,106573901,13,2,22,0,549,28162,0,43,13,205,22,0,15,0.35406264185201997,0,4088,3,592,No[o]ne-,2203,False,1,20157,21736,8,59,3,0,158,13,0,0,0,0,8,0,0,False,0,0,6,3477,2676,17,0.7222222,0.7349688316911321,416
3857223519,106573901,12,3,28,0,793,46472,0,10,13,679,25,0,14,0.20328381548084443,0,7464,5,739,No[o]ne-,3837,False,0,50712,47259,6,102,5,0,577,13,0,0,1,0,12,0,0,False,0,0,8,1881,2314,11,0.7352941,0.6822843354112206,382
3857133774,106573901,7,1,12,0,563,23442,0,25,10,325,23,0,8,0.25348542458808615,0,4816,2,610,No[o]ne-,2367,True,1,22210,24064,8,170,2,0,158,10,0,0,0,0,13,0,0,False,0,0,4,2866,2506,8,0.65384614,0.8210335813392319,379
3853781987,106573901,14,2,31,0,491,24018,0,101,16,107,17,0,2,0.6460296096904441,0,789,0,559,No[o]ne-,1486,True,1,12160,13844,10,1,0,0,133,16,0,0,0,0,0,0,0,False,0,0,7,2171,2658,16,0.6904762,0.8182183792479388,448
3853738369,106573901,8,0,29,0,520,17338,0,76,8,138,17,0,3,0.3683806600153492,0,397,0,608,No[o]ne-,1303,False,1,11292,13203,16,33,0,0,129,8,0,0,0,0,0,0,0,False,0,0,3,3166,2289,21,0.5714286,0.7347677458274683,468
