matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3845514835,107803494,6,4,20,0,747,28536,0,46,4,573,25,0,14,0.08152173913043478,0,3943,4,629,Ori,2944,True,1,36652,30862,2,145,4,0,428,4,0,0,0,0,37,0,0,False,0,0,13,2831,2342,16,0.71428573,0.7635230243313895,422
3845396973,107803494,3,6,18,0,556,18132,0,76,7,330,25,0,8,0.1485148514851485,2,4036,3,573,Ori,2828,False,1,26206,27007,1,70,3,0,260,7,1,0,0,0,0,2,0,False,0,0,7,2576,1806,6,0.5555556,0.617534687311482,410
3845290901,107803494,4,3,26,0,641,37584,0,72,9,381,22,0,4,0.2309666381522669,0,7456,3,528,Ori,2338,True,1,24977,20574,3,133,3,0,259,9,0,0,0,0,15,0,0,False,0,0,8,2592,1978,20,0.8666667,0.6756485019103157,438
3843661600,107803494,14,5,14,0,530,27405,0,39,12,214,23,0,15,0.33692091717360784,0,4184,2,630,Ori,2137,True,1,18876,22438,4,49,2,0,166,13,0,0,0,0,0,0,0,False,0,0,7,2745,2089,13,0.8666667,0.674441986728333,379
3843532121,107803494,11,2,23,0,710,33410,0,72,6,508,25,0,21,0.12261580381471389,0,7349,1,647,Ori,2936,True,1,34742,31659,5,181,1,0,305,6,2,1,0,0,19,0,0,False,0,0,10,3023,2078,20,0.7083333,0.6382465312688518,451
3843208811,107803494,12,4,18,0,434,10025,0,49,4,110,16,0,4,0.17712177121771217,0,2195,0,512,Ori,1355,True,1,9801,11562,3,22,0,0,104,4,0,0,0,0,0,0,0,False,0,0,4,2766,1969,16,0.64,0.5775186004423889,429
3843135909,107803494,7,6,22,0,411,12778,10,13,4,129,17,0,10,0.14696876913655849,0,970,0,500,Ori,1633,True,1,11186,13608,1,37,0,0,112,4,0,0,0,0,0,0,0,False,0,0,6,2992,1865,17,0.44,0.5133722099336416,374
3841676130,107803494,12,5,12,0,592,32923,0,72,10,231,21,0,11,0.30150753768844224,0,2778,1,582,Ori,1990,True,1,19634,19303,3,87,1,0,148,10,1,0,1,0,3,0,1,False,0,0,6,2648,2462,6,0.8148148,0.6931429720490649,451
3841589135,107803494,9,0,38,0,677,14161,0,46,6,285,20,0,6,0.2236024844720497,0,5143,2,676,Ori,1610,True,1,18166,18139,15,100,2,0,212,6,0,0,0,0,27,0,0,False,0,0,3,3184,2355,19,0.75,0.7782022923788458,477
3818333792,107803494,6,3,12,0,411,13862,0,76,4,260,20,0,10,0.09577015163607343,0,0,0,408,Ori,2506,True,0,17166,17040,2,57,0,0,197,4,2,2,0,0,0,0,0,False,0,0,9,1490,1511,8,0.5263158,0.528855821435753,419
