matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3862262314,149486894,15,3,11,0,739,32861,0,94,8,462,25,1,6,0.20210526315789476,2,6669,4,791,Sccc,2375,False,1,29252,31310,5,185,5,0,256,8,4,0,0,0,56,1,2,False,0,0,6,2900,2228,6,0.5609756,0.6861049668208324,315
3862135578,149486894,10,3,25,0,572,35696,0,76,13,235,25,2,2,0.33163265306122447,0,2468,3,692,Sccc,2352,True,1,22422,27126,5,43,3,0,205,13,2,1,0,0,0,2,0,False,0,0,7,2518,1918,13,0.6571429,0.5666599638045445,370
3862035677,149486894,3,5,30,0,470,18589,0,11,4,229,17,0,3,0.12474012474012475,0,1491,2,430,Sccc,1924,True,0,15071,13788,1,63,2,0,182,4,1,1,0,0,14,0,0,False,0,0,10,3504,2439,25,0.7777778,0.7844359541524231,337
3860676988,149486894,12,6,14,0,736,46640,0,12,14,846,25,0,32,0.16696481812760883,0,4890,5,681,Sccc,5031,False,1,61713,57101,3,366,5,0,440,15,3,2,3,0,134,0,0,False,2,30,8,3076,2649,11,0.7222222,0.7860446410617333,308
3860563545,149486894,1,4,11,0,466,10575,0,25,3,220,17,3,7,0.09977827050997783,1,285,0,449,Sccc,1804,True,0,14011,13499,0,29,0,0,191,3,1,0,0,0,2,3,0,False,0,0,7,2696,2018,6,0.5,0.6503116830886788,376
3860434033,149486894,3,2,14,1,668,24895,0,25,16,326,24,0,7,0.41450777202072536,0,7134,2,643,Sccc,2316,True,1,25784,24819,6,57,2,0,264,16,1,3,1,0,10,0,0,False,0,0,10,2503,2769,12,0.8636364,0.73697969032777,372
3858218113,149486894,4,1,11,0,404,6179,0,49,3,146,14,1,2,0.12903225806451613,0,1036,0,424,Sccc,1395,False,0,9393,9858,3,35,0,0,111,3,1,0,0,0,1,1,0,False,0,0,4,2939,2712,9,0.875,0.7381862055097527,413
3858123895,149486894,10,1,20,0,503,17281,0,39,5,247,21,0,13,0.1411764705882353,1,946,1,526,Sccc,2125,True,0,17814,18629,7,19,1,0,228,5,1,2,0,0,1,0,1,False,0,0,9,2576,1855,14,0.7,0.5429318318922179,374
3857361495,149486894,7,9,19,0,378,22178,0,47,6,183,18,0,2,0.1634135270086246,0,497,1,385,Sccc,2203,False,0,13878,14135,1,16,1,0,167,6,0,0,0,0,1,0,0,False,0,0,12,2279,1732,3,0.7647059,0.5610295596219586,367
3857223519,149486894,20,5,25,0,565,56244,0,15,17,526,25,0,14,0.2658326817826427,0,4002,1,589,Sccc,3837,False,1,36131,37666,6,132,1,0,259,17,4,3,0,0,14,0,0,False,0,0,9,2517,2397,18,0.902439,0.6899255982304444,388
